well_number,well_position,cycle_number,POOL_T80K_1,POOL_T80K_2,POOL_T80K_3,POOL_T80K_4,POOL_T80K_5,POOL_T80K_6,POOL_T80K_7,POOL_T80K_8,POOL_T80K_9,POOL_T80K_10,POOL_WT_1,Non-targeting,Untransduced_WT,Untransduced_T80K
18,B6,6,228644.16,236800.28,240120.2,246313.14,243341.47,225810.45,243850.94,222010.5,229243.45,221481.52,287649.88,543932.5,274086.6,#N/A
19,B7,6,221758.89,230179.12,227735.7,226544.5,228499.6,225735.88,203465.44,212145.03,216694.45,223281.98,288412.1,225457.11,382291.34,#N/A
20,B8,6,215902.02,238220.19,237877.25,235537.48,234186.7,241087.75,231012.05,222101.12,223109.84,220401.11,263759.66,302956.78,282314.34,#N/A
21,B9,6,221414.03,242674,232163.53,227994.06,226776.61,232265.22,228444.55,220333.98,214909.19,266701.2,251760.4,227584.22,333230.38,#N/A
22,B10,6,234459.23,247263.03,238325.25,233808.9,234428.6,235414.38,234688.47,221966.9,217965.06,223435.89,274234.28,275874.06,305227,#N/A
23,B11,6,236125.31,247511.89,260090.11,238199.7,240563.67,234921.69,243296.95,219564.27,222462.69,222843.17,242022.12,275871.8,346833.47,#N/A
24,B12,6,234234.44,241787.69,243254.22,231644.22,230821.12,245383.39,228749.45,213318.39,222938.05,232514.23,281777.2,346617.7,311895.66,#N/A
25,C1,6,313881.1,327736.75,318996.84,328637.8,335384.12,311737.34,327715.4,297080.8,296632.47,276646.38,327119.72,358503.78,389441.78,303173.44
26,C2,6,220283.08,284004.75,276661.28,284189,284449.16,280936.25,281603.1,255197.31,236424.9,265190.38,272207,309506.62,292216.7,254925.11
27,C3,6,241395.02,255001.39,249691.95,253965.47,252099.08,249426.39,250911.52,231563.53,242592.66,236522.78,341342.5,312792.2,352593.16,233811.98
28,C4,6,218844.3,244496.2,240472.7,237328.03,245528.73,299320.1,245056.56,229268.62,221867.45,233729.78,311617.56,296875,305463.38,217374.8
29,C5,6,234263.39,242965.88,237843.88,233426.25,238234.06,234151.12,241082.25,221827.22,244434.64,234459.31,324385.94,255344.48,259647.05,218040.28
30,C6,6,215262.7,233815.81,259740.94,219430.47,225623.45,229113.86,229031.11,214431.14,216050.22,227545,242617.08,221351.69,300966.03,#N/A
31,C7,6,221354.22,229120.45,237135.42,223254.88,219743.64,214316.8,223226.83,212021.19,216651,213186.52,335979.22,239776.33,330990.47,#N/A
32,C8,6,220334.56,237348.4,219877.16,218298.38,225453.11,218809.9,224390.08,210691.31,211105.84,222282.47,296181.12,284410.47,283100.47,#N/A
33,C9,6,201714.47,217359.67,211693.23,207840.19,207465.44,204519.69,208155.33,210914.03,196661.88,201750.44,232605.88,207516.6,281804.34,#N/A
34,C10,6,289357.75,310784.97,301476.9,298278.22,299350.62,296392.7,297281.03,337944.84,370118.62,264476.44,319581.38,353495.1,382235.22,#N/A
35,C11,6,228905.77,239854.84,231319.84,226751.61,226913.3,224418.31,229721.83,214659.8,217669.92,217442.31,251265.48,251192.12,328841.94,#N/A
36,C12,6,227711.52,228746.45,237900.4,226136.19,225821.19,235420.56,228744.16,209474.31,217401.11,217731.62,256682.38,284076.6,262870.2,#N/A
37,D1,6,318663.84,337608.7,329732.25,345586,343977.5,370077.5,334672.88,301581.78,300253.72,284523.06,369228.16,359597.94,366168.16,308527.03
38,D2,6,278242.75,292167.72,282121.8,285777.66,292117.5,279183.16,289576.78,259549.05,262766.88,262692.1,314814.75,356917.38,302285.16,260036.14
39,D3,6,247312.8,261970.95,253109.58,251993.77,253197.39,254797.27,255508.6,237529.08,241865.66,234138.34,388707.72,299251.9,316955.1,225831.48
40,D4,6,239950.9,256792.62,250639.02,250319.61,250912.2,332135.34,247991.19,227583.7,246703.33,232258.77,323039.66,360023.62,314346.5,224697.64
41,D5,6,225575.23,238414.31,235955.05,232837.92,267691.28,230673.73,238759.39,222291.58,224797.73,225351.33,319377.53,261113.33,362603.66,205961.22
42,D6,6,228158.52,245966.25,233493.17,227160.56,233998.3,235418.08,235174.81,224825.81,226887.73,227912.33,311324.38,287659.2,236232.19,#N/A
43,D7,6,221591.83,236042.62,224532.34,226685.08,224612.23,225881.19,227668.58,215803.62,215871.16,222381.88,418973.88,231427.84,302106.4,#N/A
44,D8,6,231703.06,226962.64,218036.8,214131.94,246874.08,218860.62,224281.62,212673.9,205601.44,214186.31,287631.62,260553.36,316167.3,#N/A
45,D9,6,203618.77,217049.25,213756.89,210485.22,210275.23,213621.42,210600.45,202005.77,200118.23,203598.1,230608.48,269625.47,379845.38,#N/A
46,D10,6,218093.56,231106.34,220819.42,218704.1,222171.77,218177.02,219757.11,209463.14,206566.39,231574.38,226738.7,270827.94,260624.4,#N/A
47,D11,6,228224.34,233726.62,226887.27,221598.72,220976.22,223613.72,218656.8,211573.2,214091.16,207209.48,220254.31,248041.27,395239.28,#N/A
48,D12,6,237961.66,242604.39,239698.14,227745.73,228742.16,227608.33,227644.9,219935.12,222320.67,227102.67,321772.4,324892.97,280005.34,#N/A
49,E1,6,321337.53,342686.5,335322.03,337085.75,343870,333015.28,347453.53,320049.38,308488,359198.16,441676.7,372869.38,402835.25,307606.12
50,E2,6,272564.47,330275.4,318236.44,283290.47,283234.62,339997.25,284340.06,258214.42,260666.23,259669.42,314745.38,385217.03,295316.78,262556.3
51,E3,6,242173.4,254670.7,250677.7,253817.34,247770.34,265561.25,251484.61,239623.67,232980.77,280318.62,323436.6,371255.62,299433.88,228031.81
52,E4,6,273464.16,290865,282078.34,284781.84,281574.2,283124.53,279760.25,265059.4,268427.38,266626.16,382971.47,330718.53,431262.66,245014.77
53,E5,6,285577.2,300416.06,308851.97,301358.94,302690.8,301996.16,300624.6,293191.03,292694.16,292287.66,295580.03,298588.38,436672.12,274136.38
54,E6,6,216739.72,229157.36,222924.28,219849.31,222085.4,223944.58,225074.98,213332.52,264560.53,211881.92,274501.06,294372.06,275934.4,#N/A
55,E7,6,218647.67,233988.16,229300.69,228544.3,224265.27,231383.28,226539.38,222431.44,219739.92,225460.97,231258.81,224831.17,305417.1,#N/A
56,E8,6,214179.7,224586.56,221205.05,220358.45,216855.39,219436.05,229810.16,212277.6,208145.33,212471.6,217539.67,373885.75,250900.02,#N/A
